result_url,query,source,location,signal,category_hint
"https://mahaveerelectronic.myshopify.com/","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://www.ilairashop.com/collections/best-sellers","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://matrut.com/products/matrut-saral-peacock-blue-saree","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://www.ilairashop.com/collections/buy-1-get-1-free","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://naariy.com/collections/co-ord-sets","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://jeevavedastore.com/","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://naariy.com/products/sunehri-mustard-aari-embroidered-kashmiri-pheran","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://naariy.com/products/black-kurti-and-white-pant-set-copy","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://naariy.com/pages/about-us","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://www.trajectoryindia.com/collections/home-page","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://pickleddelights.com/products/sunny-haldi-trial-pack-50g","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://anrita.in/","""Powered by Shopify"" ""Delhi"" clothing ""GSTIN""","web-search-wave3","Delhi NCR","Powered by Shopify","clothing"
"https://suchayaan.com/","""Powered by Shopify"" ""Gurugram"" furniture ""GSTIN""","web-search-wave3","Gurugram","Powered by Shopify","furniture"
"https://uberdecor.in/products/cedar-elan-french-designer-folding-rotating-end-table-luxury-modern-side-table-for-living-rooms-and-apartments","""Powered by Shopify"" ""Gurugram"" furniture ""GSTIN""","web-search-wave3","Gurugram","Powered by Shopify","furniture"
"https://kixa-life.com/collections/frontpage","""Powered by Shopify"" ""Gurugram"" furniture ""GSTIN""","web-search-wave3","Gurugram","Powered by Shopify","furniture"
